#,,,This the actual injection volume on the column,,,,Relic from BMIS for pooled full and half,A dilution factor of 2 is a 1 to 1 dilution of sample to water
Sample.Name,Notes,Column,uLonColumn,Fraction,Sample.Group,Treatment.Group,Inj.vol,Dilution.Factor
190715_Poo_TruePooKM1906_Half3,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooKM1906_Full3,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,2,1
190715_Blk_Blk_35,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooKM1906_DDApos20,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,2,1
190715_Poo_TruePooKM1906_DDAneg20,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,2,1
190715_Blk_Blk_36,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooKM1906_DDApos35,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,2,1
190715_Poo_TruePooKM1906_DDAneg35,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,2,1
190715_Blk_Blk_37,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooKM1906_DDApos50,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,2,1
190715_Poo_TruePooKM1906_DDAneg50,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,2,1
190715_Blk_Blk_38,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooKM1906_SWATHpos20,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,2,1
190715_Poo_TruePooKM1906_SWATHneg20,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,2,1
190715_Blk_Blk_36a,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooKM1906_SWATHpos35,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,2,1
190715_Poo_TruePooKM1906_SWATHneg35,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,2,1
190715_Blk_Blk_37a,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooKM1906_SWATHpos50,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,2,1
190715_Poo_TruePooKM1906_SWATHneg50,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,2,1
190715_Blk_Blk_38a,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooKM1906_Fullpos60,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,2,1
190715_Poo_TruePooKM1906_Fullneg60,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,2,1
190715_Blk_Blk_39,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooKM1906_Fullpos120,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,2,1
190715_Poo_TruePooKM1906_Fullneg120,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,2,1
190715_Blk_Blk_40,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooKM1906_Fullpos240,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,2,1
190715_Poo_TruePooKM1906_Fullneg240,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,2,1
190715_Blk_Blk_41,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_QC-KM1906_D,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Std_H2OinMatrix_2,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,
190715_Std_4uMStdsMix1InH2O_2,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,
190715_Std_4uMStdsMix2InH2O_2,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,
190715_Std_4uMStdsMix1InMatrix_2,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,
190715_Std_4uMStdsMix2InMatrix_2,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,
190715_Blk_Blk_41a,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,1
190715_Smp_KM1906S4C27D300_A-Re-run,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S4C27D500_B-Re-run,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S4C27D500_C-Re-run,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_41b,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,1
190715_Poo_TruePooFK180310_Half1,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,0.5,4
190715_Poo_TruePooFK180310_Full1,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_42,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S80C1-25m_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S62C1-25m_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_43,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S77C1-DCM_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S77C1-DCM_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_44,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S62C1-DCM_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S64C1-25m_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_45,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S62C1-DCM_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S64C1-DCM_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_46,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S80C1-25m_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S64C1-25m_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_47,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S62C1-25m_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S77C1-25m_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_48,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_QC-KM1906_E,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooFK180310_Half2,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,0.5,4
190715_Poo_TruePooFK180310_Full2,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_49,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S80C1-DCM_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S77C1-25m_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_50,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S80C1-DCM_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S80C1-DCM_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_51,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S77C1-25m_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S80C1-25m_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_52,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S77C1-DCM_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S62C1-DCM_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_53,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S64C1-25m_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S64C1-DCM_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_54,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S62C1-25m_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_FK180310S64C1-DCM_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_55,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_QC-KM1906_F,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooFK180310_Half3,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,0.5,4
190715_Poo_TruePooFK180310_Full3,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_56,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooFK180310_DDApos20,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooFK180310_DDAneg20,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_57,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooFK180310_DDApos35,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooFK180310_DDAneg35,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_58,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooFK180310_DDApos50,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooFK180310_DDAneg50,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_59,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooFK180310_SWATHpos20,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooFK180310_SWATHneg20,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_57a,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooFK180310_SWATHpos35,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooFK180310_SWATHneg35,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_58a,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooFK180310_SWATHpos50,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooFK180310_SWATHneg50,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_58b,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooFK180310_Fullpos60,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooFK180310_Fullneg60,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_59a,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooFK180310_Fullpos120,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooFK180310_Fullneg120,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_60,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooFK180310_Fullpos240,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooFK180310_Fullneg240,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_61,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_QC-KM1906_G,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooKM1910_Half1,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,0.5,4
190715_Poo_TruePooKM1910_Full1,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_62,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1910S2CTD10D150_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1910S2CTD10D25_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_63,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1910S2CTD10D125_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1910S2CTD15D500_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_64,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1910S2CTD10D75_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1910S2CTD15D225_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
